Code,名稱,網址,評分,餐點類型
z0cf,西門彰化肉圓,/restaurant/z0cf/xi-men-zhang-hua-rou-yuan,4.6 stars out of 5,小吃
ja5q,社頭現切甘草芭樂（質優一生美容）,/restaurant/ja5q/she-tou-xian-qie-gan-cao-ba-le-zhi-you-sheng-mei-rong,4.8 stars out of 5,甜點
z5ei,港城豆花 (彰化彰美店),/restaurant/z5ei/gang-cheng-dou-hua-zhang-hua-zhang-mei-dian,4.8 stars out of 5,甜點
c7qb,香豪肉粽,/restaurant/c7qb/xiang-hao-rou-zong,4.7 stars out of 5,小吃
p4sn,豪紀無骨御鮮雞 (彰化太平店),/restaurant/p4sn/hao-ji-wu-gu-yu-xian-ji-zhang-hua-tai-ping-dian,4.8 stars out of 5,台式
z5mh,大眾牛肉麵 (彰化彰美店),/restaurant/z5mh/da-zhong-niu-rou-mian-zhang-hua-zhang-mei-dian,4.8 stars out of 5,台式
liaa,萬波島嶼紅茶 (彰化中華店),/restaurant/liaa/wan-bo-dao-yu-hong-cha-zhang-hua-zhong-hua-dian,4.9 stars out of 5,飲料
nshe,洪家牛肉麵,/restaurant/nshe/hong-jia-niu-rou-mian,4.8 stars out of 5,台式
b0dr,私房泰 (彰化永福店),/restaurant/b0dr/si-fang-tai-zhang-hua-yong-fu-dian,4.8 stars out of 5,東南亞
pulg,無飲 (彰化孔門店),/restaurant/pulg/wu-yin-zhang-hua-kong-men-dian,4.6 stars out of 5,飲料
o7yw,八丼食堂 (彰化自強南店),/restaurant/o7yw/ba-jing-shi-tang-zhang-hua-zi-qiang-nan-dian,4.9 stars out of 5,日式
c4ms,觀世音素食,/restaurant/c4ms/guan-shi-yin-su-shi,4.7 stars out of 5,素食
a4ed,丐幫滷味 (中華總舵),/restaurant/a4ed/gai-bang-lu-wei-zhong-hua-zong-duo,4.8 stars out of 5,小吃
o7ei,和美60年老店蚵嗲炸粿,/restaurant/o7ei/he-mei-60nian-lao-dian-he-dia-zha-guo,4.7 stars out of 5,小吃
f0sv,甘老味幸福牛肉麵,/restaurant/f0sv/gan-lao-wei-xing-fu-niu-rou-mian,4.8 stars out of 5,台式
t8vh,還不睡(熱壓吐司),/restaurant/t8vh/huan-bu-shui-re-ya-tu-si,4.8 stars out of 5,小吃
uosx,WOW瓦巫炸雞 (彰化永安店),/restaurant/uosx/wowwa-wu-zha-ji-zhang-hua-yong-an-dian,4.8 stars out of 5,歐美
a4kz,洪鹹酥雞,/restaurant/a4kz/hong-xian-su-ji,4.6 stars out of 5,小吃
umds,老香雞湯燒 (彰化中正店),/restaurant/umds/lao-xiang-ji-tang-shao-zhang-hua-zhong-zheng-dian,4.7 stars out of 5,台式
a7ho,花枝肉羹大碗,/restaurant/a7ho/hua-zhi-rou-geng-da-wan,4.8 stars out of 5,台式
z7mz,隨義X義麵,/restaurant/z7mz/sui-yi-xyi-mian,4.8 stars out of 5,歐美
b1ra,食神滷味 (彰化彰美店),/restaurant/b1ra/shi-shen-lu-wei-zhang-hua-zhang-mei-dian,4.7 stars out of 5,小吃
ah9i,虎作章魚燒,/restaurant/ah9i/hu-zuo-zhang-yu-shao,4.8 stars out of 5,日式
q6yc,新町豆花 (彰化中正店),/restaurant/q6yc/xin-ting-dou-hua-zhang-hua-zhong-zheng-dian,4.7 stars out of 5,甜點
rvyl,煮食間(丼飯 咖哩飯 義大利麵),/restaurant/rvyl/zhu-shi-jian-jing-fan-ka-li-fan-yi-da-li-mian,4.1 stars out of 5,日式
a2wp,茶聚 (彰化永安店),/restaurant/a2wp/cha-ju-zhang-hua-yong-an-dian,4.9 stars out of 5,飲料
p2si,三民木瓜牛奶傳統挫冰,/restaurant/p2si/san-min-mu-gua-niu-nai-chuan-tong-cuo-bing,4.7 stars out of 5,甜點
rqkd,御青方麻辣臭豆腐 (彰化民生店),/restaurant/rqkd/yu-qing-fang-ma-la-chou-dou-fu-zhang-hua-min-sheng-dian,4.8 stars out of 5,台式
u16u,拿督麻辣臭豆腐 (彰化華山店),/restaurant/u16u/na-du-ma-la-chou-dou-fu-zhang-hua-hua-shan-dian,4.8 stars out of 5,小吃
f1xm,摩斯漢堡Mos Burger (彰化孔門店),/restaurant/f1xm/mo-si-han-bao-mos-burger-zhang-hua-kong-men-dian,4.9 stars out of 5,日式
z7do,裕民牛肉麵,/restaurant/z7do/yu-min-niu-rou-mian,4.7 stars out of 5,台式
