Code,名稱,網址,評分,餐點類型
bfeb,心品茶,/restaurant/bfeb/xin-pin-cha,5 stars out of 5,飲料
gipp,呷尚寶 (嘉義台林店),/restaurant/gipp/xia-shang-bao-jia-yi-tai-lin-dian,4.7 stars out of 5,早餐
oyzq,三商鮮五丼 (嘉義店4824),/restaurant/oyzq/san-shang-xian-wu-jing-jia-yi-dian-4824,4.8 stars out of 5,日式
w3p4,延平街沙威瑪,/restaurant/w3p4/yan-ping-jie-sha-wei-ma,4.6 stars out of 5,異國
z2vm,那間 鹽酥雞,/restaurant/z2vm/na-jian-yan-su-ji,4.7 stars out of 5,小吃
a9tp,四季自然冰品,/restaurant/a9tp/si-ji-zi-ran-bing-pin,4.8 stars out of 5,甜點
ei9j,四季複合式餐飲,/restaurant/ei9j/si-ji-fu-he-shi-can-yin,未知,台式
v3a1,柳可可LIUCOCO,/restaurant/v3a1/liu-ke-ke-liucoco,4.7 stars out of 5,台式
rh4l,鮮自然 (嘉義民族店),/restaurant/rh4l/xian-zi-ran-jia-yi-min-zu-dian,未知,飲料
a4lk,石頭鄉烤玉米,/restaurant/a4lk/shi-tou-xiang-kao-yu-mi,4.8 stars out of 5,小吃
kfyk,鍋賣局 (嘉義仁愛店),/restaurant/kfyk/guo-mai-ju-jia-yi-ren-ai-dian,4.5 stars out of 5,台式
a3mi,小南雞腿便當 (嘉義民族店),/restaurant/a3mi/xiao-nan-ji-tui-bian-dang-jia-yi-min-zu-dian,4.7 stars out of 5,台式
b5rm,熊姐煎餃、麵食,/restaurant/b5rm/xiong-jie-jian-jiao-mian-shi,4.7 stars out of 5,台式
gncs,小紅帽脆皮章魚燒 (嘉義台林分店),/restaurant/gncs/xiao-hong-mao-cui-pi-zhang-yu-shao-jia-yi-tai-lin-fen-dian,5 stars out of 5,日式
doli,8鍋臭臭鍋 (嘉義民族店),/restaurant/doli/8guo-chou-chou-guo-jia-yi-min-zu-dian,4.8 stars out of 5,台式
a4qc,LoHa甘丹輕茶飲 (嘉義民族店),/restaurant/a4qc/lohagan-dan-qing-cha-yin-jia-yi-min-zu-dian,4.9 stars out of 5,飲料
ycp7,請ㄋ一ˇ喝奶茶,/restaurant/ycp7/qing-n-vhe-nai-cha,4.6 stars out of 5,飲料
a9wa,東門圓環火婆煎粿,/restaurant/a9wa/dong-men-yuan-huan-huo-po-jian-guo,4.9 stars out of 5,小吃
mlr0,蓁巧味煎餅果子,/restaurant/mlr0/zhen-qiao-wei-jian-bing-guo-zi,4.9 stars out of 5,小吃
z0qr,早安美芝城 (嘉義德安店),/restaurant/z0qr/zao-an-mei-zhi-cheng-jia-yi-de-an-dian,4.8 stars out of 5,早餐
pb5h,威尼爾食堂,/restaurant/pb5h/wei-ni-er-shi-tang,4.5 stars out of 5,台式
a7ow,光華愛玉,/restaurant/a7ow/guang-hua-ai-yu,4.8 stars out of 5,甜點
x4hp,八方雲集 (嘉義民族店),/restaurant/x4hp/ba-fang-yun-ji-jia-yi-min-zu-dian,4.5 stars out of 5,台式
d1hx,冰鑽8,/restaurant/d1hx/bing-zuan-8,4.9 stars out of 5,飲料
qbap,老賴茶棧  (嘉義民族店),/restaurant/qbap/lao-lai-cha-zhan-jia-yi-min-zu-dian,4.9 stars out of 5,飲料
a9su,銅共啊餅 (紅豆餅),/restaurant/a9su/tong-gong-a-bing-hong-dou-bing,4.9 stars out of 5,甜點
y5os,角落食堂鹽水雞,/restaurant/y5os/jiao-luo-shi-tang-yan-shui-ji,4.4 stars out of 5,小吃
a8wv,陶城石頭火鍋,/restaurant/a8wv/tao-cheng-shi-tou-huo-guo,4.5 stars out of 5,台式
b0py,盧記簡速餐,/restaurant/b0py/lu-ji-jian-su-can,4.8 stars out of 5,台式
z7di,蟹師傅市仔腳,/restaurant/z7di/xie-shi-fu-shi-zi-jiao,4.6 stars out of 5,小吃
dldo,萬波島嶼紅茶 (嘉義民族店),/restaurant/dldo/wan-bo-dao-yu-hong-cha-jia-yi-min-zu-dian,4.8 stars out of 5,飲料
f4tx,紅葉牛排 (嘉義友愛店),/restaurant/f4tx/hong-xie-niu-pai-jia-yi-you-ai-dian,4.7 stars out of 5,歐美
mqeo,五美茶果茶 (嘉義民族店),/restaurant/mqeo/wu-mei-cha-guo-cha-jia-yi-min-zu-dian,4.8 stars out of 5,飲料
idau,時喆鮮果飲,/restaurant/idau/shi-zhe-xian-guo-yin,未知,飲料
ueha,享初好食,/restaurant/ueha/xiang-chu-hao-shi-ueha,4.8 stars out of 5,日式
z8fd,自己來紅茶鮮奶 (嘉義家樂福店),/restaurant/z8fd/zi-ji-lai-hong-cha-xian-nai-jia-yi-jia-le-fu-dian,4.9 stars out of 5,飲料
oech,暖暖鍋燒意麵 (嘉義民愛店),/restaurant/oech/nuan-nuan-guo-shao-yi-mian-jia-yi-min-ai-dian,4.8 stars out of 5,台式
a8zc,爆Q美式炸雞 (嘉義民族店),/restaurant/a8zc/bao-qmei-shi-zha-ji-jia-yi-min-zu-dian,4.9 stars out of 5,歐美
aa4t,養生牛肉麵專賣 (嘉義民愛店),/restaurant/aa4t/yang-sheng-niu-rou-mian-zhuan-mai-jia-yi-min-ai-dian,4.4 stars out of 5,台式
d6uw,阿奇師鹽酥雞王,/restaurant/d6uw/a-qi-shi-yan-su-ji-wang,4.6 stars out of 5,小吃
ji1g,五桔鹽酥雞,/restaurant/ji1g/wu-jie-yan-su-ji,4.7 stars out of 5,小吃
d2wh,弘爺漢堡 (嘉義民愛店),/restaurant/d2wh/hong-ye-han-bao-jia-yi-min-ai-dian,4.8 stars out of 5,早餐
mas1,尚青海產粥,/restaurant/mas1/shang-qing-hai-chan-zhou,4.6 stars out of 5,台式
shsu,幸福養生粥,/restaurant/shsu/xing-fu-yang-sheng-zhou-shsu,4.9 stars out of 5,甜點
omqc,鶴茶樓 (嘉義民族店),/restaurant/omqc/he-cha-lou-jia-yi-min-zu-dian,4.8 stars out of 5,飲料
suhx,東市魯熟肉,/restaurant/suhx/dong-shi-lu-shou-rou,未知,小吃
a9xh,清心福全 (嘉義仁愛店),/restaurant/a9xh/qing-xin-fu-quan-jia-yi-ren-ai-dian,4.8 stars out of 5,飲料
a5tf,鑫現炒,/restaurant/a5tf/xin-xian-chao,4.7 stars out of 5,台式
gaeh,毅愘萊-鍋燒．麻辣鍋,/restaurant/gaeh/yi-ke-lai-guo-shao-ma-la-guo,4.9 stars out of 5,台式
yv91,柒壹麻辣鴨血,/restaurant/yv91/qi-yi-ma-la-ya-xie,未知,中式
tea2,2派克脆皮雞排 (嘉義文化店),/restaurant/tea2/2pai-ke-cui-pi-ji-pai-jia-yi-wen-hua-dian,4.7 stars out of 5,小吃
a3nt,盛食咖哩,/restaurant/a3nt/sheng-shi-ka-li,4.8 stars out of 5,異國
a5tt,發哥黑白切．海鮮．快炒,/restaurant/a5tt/fa-ge-hei-bai-qie-hai-xian-kuai-chao,4.5 stars out of 5,台式
r2an,紅麥田夜間部 (文化店),/restaurant/r2an/hong-mai-tian-ye-jian-bu-wen-hua-dian,3.4 stars out of 5,小吃
a3jm,橘醬蛋餅,/restaurant/a3jm/ju-jiang-dan-bing,4.7 stars out of 5,早餐
dee8,拾覺 (嘉義民生北店),/restaurant/dee8/shi-jue-jia-yi-min-sheng-bei-dian,4.9 stars out of 5,飲料
d45y,Neko 奶酥厚片,/restaurant/d45y/neko-nai-su-hou-pian-d45y,5 stars out of 5,歐美
a9nl,渼橘客新鮮果優格專賣店,/restaurant/a9nl/mei-ju-ke-xin-xian-guo-you-ge-zhuan-mai-dian,4.9 stars out of 5,甜點
nvy9,諸羅山尚摮炒鱔魚麵,/restaurant/nvy9/zhu-luo-shan-shang-ao-chao-shan-yu-mian,4.6 stars out of 5,台式
hlza,小憩一下飲用古早味紅茶,/restaurant/hlza/xiao-qi-xia-yin-yong-gu-zao-wei-hong-cha-hlza,4.8 stars out of 5,飲料
geb1,南洋小館,/restaurant/geb1/nan-yang-xiao-guan,4.7 stars out of 5,東南亞
mu0u,中興火雞肉飯,/restaurant/mu0u/zhong-xing-huo-ji-rou-fan,4.7 stars out of 5,台式
a1if,黃金比綠 鮮果茶飲專賣 (嘉義文化店),/restaurant/a1if/huang-jin-bi-lu-xian-guo-cha-yin-zhuan-mai-jia-yi-wen-hua-dian,4.8 stars out of 5,飲料
sl2m,享饗鮮奶蛋糕,/restaurant/sl2m/xiang-xiang-xian-nai-dan-gao,5 stars out of 5,甜點
up62,東市楊桃冰,/restaurant/up62/dong-shi-yang-tao-bing,未知,飲料
v9dx,好棒棒薯條 (嘉義吳鳳店),/restaurant/v9dx/hao-bang-bang-shu-tiao-jia-yi-wu-feng-dian,4.9 stars out of 5,素食
b98o,石一籠 (嘉義光華店),/restaurant/b98o/shi-long-jia-yi-guang-hua-dian,4.8 stars out of 5,中式
gymo,食籠,/restaurant/gymo/shi-long-gymo,4.8 stars out of 5,台式
zp3y,三幕 Tarpu タープ,/restaurant/zp3y/san-mu-tarpu-tapu,4.5 stars out of 5,日式
z2kr,清霖茶莊 (嘉義民族旗艦店),/restaurant/z2kr/qing-lin-cha-zhuang-jia-yi-min-zu-qi-jian-dian,4.9 stars out of 5,飲料
a1se,貳牛炙燒牛排,/restaurant/a1se/er-niu-zhi-shao-niu-pai,4.7 stars out of 5,歐美
b6k9,數一數二碳烤雞排 (嘉義民生店),/restaurant/b6k9/shu-shu-er-tan-kao-ji-pai-jia-yi-min-sheng-dian,4.8 stars out of 5,小吃
zn1f,明仁二代目章魚燒(嘉義店),/restaurant/zn1f/ming-ren-er-dai-mu-zhang-yu-shao-jia-yi-dian,2.6 stars out of 5,小吃
jray,旺享滷味,/restaurant/jray/wang-xiang-lu-wei,5 stars out of 5,小吃
s2ch,毅起吃-鍋燒.麻辣燙,/restaurant/s2ch/yi-qi-chi-guo-shao-ma-la-tang,4.9 stars out of 5,台式
glki,壹等葉-臺灣牛肉麵（文化公園店）,/restaurant/glki/yi-deng-xie-tai-wan-niu-rou-mian-wen-hua-gong-yuan-dian,4.8 stars out of 5,台式
v920,秀呷店宵夜,/restaurant/v920/xiu-xia-dian-xiao-ye,4.8 stars out of 5,台式
e9yz,將太壽司 (嘉義民族店),/restaurant/e9yz/jiang-tai-shou-si-jia-yi-min-zu-dian,4.9 stars out of 5,日式
mus3,烏弄 (嘉義民族店),/restaurant/mus3/wu-nong-jia-yi-min-zu-dian,4.9 stars out of 5,飲料
zbok,樂食沛,/restaurant/zbok/le-shi-pei,4.7 stars out of 5,異國
a8qk,麻古茶坊 (嘉義民族店),/restaurant/a8qk/ma-gu-cha-fang-jia-yi-min-zu-dian,4.8 stars out of 5,飲料
akgm,晨時早午餐,/restaurant/akgm/chen-shi-zao-wu-can-akgm,4.7 stars out of 5,早餐
tbsp,小旬湯 (嘉義仁愛店),/restaurant/tbsp/xiao-xun-tang-jia-yi-ren-ai-dian,4.5 stars out of 5,台式
b89e,絕佳食雞 (嘉義民族店),/restaurant/b89e/jue-jia-shi-ji-jia-yi-min-zu-dian,4.6 stars out of 5,小吃
r5in,胖老爹美式炸雞 (嘉義友愛店),/restaurant/r5in/pang-lao-die-mei-shi-zha-ji-jia-yi-you-ai-dian,4.8 stars out of 5,歐美
xd4b,九野和日式麻辣鴛鴦鍋 (嘉義中興店),/restaurant/xd4b/jiu-ye-he-ri-shi-ma-la-yuan-yang-guo-jia-yi-zhong-xing-dian,4.8 stars out of 5,日式
oqc1,絕佳食雞(嘉義民族二店),/restaurant/oqc1/jue-jia-shi-ji-jia-yi-min-zu-er-dian,4.9 stars out of 5,小吃
wd1x,黑丸嫩仙草 (嘉義四維店),/restaurant/wd1x/hei-wan-nen-xian-cao-jia-yi-si-wei-dian,5 stars out of 5,飲料
atne,小路食堂,/restaurant/atne/xiao-lu-shi-tang-atne,未知,日式
i0yk,野餐，日 (健康廚房),/restaurant/i0yk/ye-can-ri-jian-kang-chu-fang,4.9 stars out of 5,健康餐
m6h7,宜蘭手做臭豆腐龍,/restaurant/m6h7/yi-lan-shou-zuo-chou-dou-fu-long,4.8 stars out of 5,台式
of9z,艾思沙沙綠豆冰沙專賣店,/restaurant/of9z/ai-si-sha-sha-lu-dou-bing-sha-zhuan-mai-dian,未知,飲料
a2nd,大盛居 日韓食堂,/restaurant/a2nd/da-sheng-ju-ri-han-shi-tang,4.8 stars out of 5,日式
njp3,湯嗜souplus,/restaurant/njp3/tang-shi-souplus,4.4 stars out of 5,健康餐
ni03,興達熱炒店,/restaurant/ni03/xing-da-re-chao-dian,未知,台式
z165,一代鴨王 (炒飯/炒麵),/restaurant/z165/dai-ya-wang-chao-fan-chao-mian,4.3 stars out of 5,台式
bb3s,雅舍早午餐,/restaurant/bb3s/ya-she-zao-wu-can,5 stars out of 5,早餐
dogz,佶昌小館,/restaurant/dogz/ji-chang-xiao-guan,4.8 stars out of 5,台式
gtnc,OLa你好早午餐,/restaurant/gtnc/olani-hao-zao-wu-can,4.3 stars out of 5,早餐
fa6v,馬祖奶茶 (嘉義民生北店),/restaurant/fa6v/ma-zu-nai-cha-jia-yi-min-sheng-bei-dian,4.7 stars out of 5,飲料
yj1m,王廚活力廚房,/restaurant/yj1m/wang-chu-huo-li-chu-fang-yj1m,4.9 stars out of 5,台式
b0mt,舞醬館,/restaurant/b0mt/wu-jiang-guan,4.7 stars out of 5,韓式
jmci,三王藥膳鍋,/restaurant/jmci/san-wang-yao-shan-guo,3.7 stars out of 5,台式
i1x9,水雲朵DrinkStore (嘉義吳鳳店),/restaurant/i1x9/shui-yun-duo-drinkstore-jia-yi-wu-feng-dian,4.8 stars out of 5,飲料
z1oz,樂野牛排,/restaurant/z1oz/le-ye-niu-pai,4.8 stars out of 5,台式
m9jf,興達自助餐,/restaurant/m9jf/xing-da-zi-zhu-can,4.6 stars out of 5,台式
xbz3,墨醬章魚燒 (嘉義民族店),/restaurant/xbz3/mo-jiang-zhang-yu-shao-jia-yi-min-zu-dian,4.8 stars out of 5,小吃
z8gm,潘肉圓,/restaurant/z8gm/pan-rou-yuan,4.6 stars out of 5,小吃
z1xe,川牛木石亭 (嘉義店),/restaurant/z1xe/chuan-niu-mu-shi-ting-jia-yi-dian,4.7 stars out of 5,日式
ob72,二姊滷肉飯,/restaurant/ob72/er-zi-lu-rou-fan,4.5 stars out of 5,台式
b6yu,新榮路米糕(原蘭井街),/restaurant/b6yu/xin-rong-lu-mi-gao-yuan-lan-jing-jie,4.5 stars out of 5,小吃
p5ai,九陶石頭火鍋,/restaurant/p5ai/jiu-tao-shi-tou-huo-guo-p5ai,5 stars out of 5,台式
a4jj,次郎日本料理,/restaurant/a4jj/ci-lang-ri-ben-liao-li,4.6 stars out of 5,日式
j6o1,來呷飯川食堂 (嘉義中山店),/restaurant/j6o1/lai-xia-fan-chuan-shi-tang-jia-yi-zhong-shan-dian,4.8 stars out of 5,中式
a0sq,"鑫丼(咖哩,丼飯,麻婆,烏龍麵)",/restaurant/a0sq/xin-jing-ka-li-jing-fan-ma-po-wu-long-mian,4.7 stars out of 5,日式
o5m7,東軒鐵板燒,/restaurant/o5m7/dong-xuan-tie-ban-shao,4.3 stars out of 5,台式
suvi,香奈鵝鵝肉町,/restaurant/suvi/xiang-nai-e-e-rou-ting,4.4 stars out of 5,台式
g71k,大味軒燒餅專賣店,/restaurant/g71k/da-wei-xuan-shao-bing-zhuan-mai-dian-g71k,4.4 stars out of 5,歐美
z5qu,二奶巷星馬叻沙,/restaurant/z5qu/er-nai-xiang-xing-ma-le-sha,4.7 stars out of 5,東南亞
e4wq,岡山羊肉,/restaurant/e4wq/gang-shan-yang-rou,4.2 stars out of 5,台式
khpn,3鼎紅麻辣鴨血臭豆腐 (嘉義民族店),/restaurant/khpn/3ding-hong-ma-la-ya-xie-chou-dou-fu-jia-yi-min-zu-dian,4.8 stars out of 5,小吃
zeci,21PLUS、21風味館 (嘉義民族門市),/restaurant/zeci/21plus-21feng-wei-guan-jia-yi-min-zu-men-shi,4.8 stars out of 5,歐美
ns3j,頑發 鍋燒意麵/厚片吐司,/restaurant/ns3j/wan-fa-guo-shao-yi-mian-hou-pian-tu-si,4.9 stars out of 5,台式
b5ra,好手沏紅茶冰 (嘉義友愛店),/restaurant/b5ra/hao-shou-qie-hong-cha-bing-jia-yi-you-ai-dian,4.9 stars out of 5,飲料
n8tj,悟饕池上飯包 (嘉義中興店),/restaurant/n8tj/wu-tao-chi-shang-fan-bao-jia-yi-zhong-xing-dian,4.8 stars out of 5,台式
a6kf,古早時代-現炒鴨肉羹．藥頭排骨,/restaurant/a6kf/gu-zao-shi-dai-xian-chao-ya-rou-geng-yao-tou-pai-gu,4.5 stars out of 5,台式
a0mp,春日蔬食(素),/restaurant/a0mp/chun-ri-shu-shi-su,4.9 stars out of 5,素食
z2uc,米卡鮮乳飲 (嘉義民族店),/restaurant/z2uc/mi-qia-xian-ru-yin-jia-yi-min-zu-dian,4.9 stars out of 5,甜點
r1ju,唐揚げ專門店,/restaurant/r1ju/tang-yang-gezhuan-men-dian,未知,小吃
kmk6,德安蒙古烤肉,/restaurant/kmk6/de-an-meng-gu-kao-rou,4.7 stars out of 5,台式
pauo,凱霸的店,/restaurant/pauo/kai-ba-de-dian,未知,台式
vnyp,喝啥呢,/restaurant/vnyp/he-sha-ni-vnyp,4.8 stars out of 5,飲料
f7wu,巧巧小肉粽店,/restaurant/f7wu/qiao-qiao-xiao-rou-zong-dian,4.5 stars out of 5,台式
z1hj,友愛米糕,/restaurant/z1hj/you-ai-mi-gao,4.6 stars out of 5,台式
uaow,水林隆贏碳烤地瓜(嘉義本店),/restaurant/uaow/shui-lin-long-ying-tan-kao-di-gua-jia-yi-ben-dian-uaow,未知,甜點
z7pn,台北麻將麻辣臭豆腐鴨血 (嘉義店) 老牌石頭小火鍋 (友愛店),/restaurant/z7pn/tai-bei-ma-jiang-ma-la-chou-dou-fu-ya-xie-jia-yi-dian-lao-pai-shi-tou-xiao-huo-guo-you-ai-dian,4.7 stars out of 5,台式
r2c4,宜華蛋餅 (嘉義新生店),/restaurant/r2c4/yi-hua-dan-bing-jia-yi-xin-sheng-dian,4.9 stars out of 5,早餐
a6kz,阿志火雞肉飯,/restaurant/a6kz/a-zhi-huo-ji-rou-fan,4.4 stars out of 5,台式
ezew,健康那件小事 (嘉義中山店),/restaurant/ezew/jian-kang-na-jian-xiao-shi-jia-yi-zhong-shan-dian,4.8 stars out of 5,健康餐
km70,朴大哥的韓式炸雞 (嘉義加盟店),/restaurant/km70/po-da-ge-de-han-shi-zha-ji-jia-yi-jia-meng-dian,4 stars out of 5,韓式
s0km,狀元廣東粥 (嘉義中興店),/restaurant/s0km/zhuang-yuan-guang-dong-zhou-jia-yi-zhong-xing-dian,4.7 stars out of 5,中式
k8fs,一家人鹽酥雞,/restaurant/k8fs/jia-ren-yan-su-ji,4.7 stars out of 5,小吃
a4pd,瀧野拉麵、丼飯,/restaurant/a4pd/long-ye-la-mian-jing-fan,4.6 stars out of 5,日式
i8bq,素食小館,/restaurant/i8bq/su-shi-xiao-guan,4.7 stars out of 5,素食
z0bc,郭記豆乳雞(嘉義總店),/restaurant/z0bc/guo-ji-dou-ru-ji-jia-yi-zong-dian,4.7 stars out of 5,小吃
haj0,星期天飲料店,/restaurant/haj0/xing-qi-tian-yin-liao-dian,5 stars out of 5,飲料
nzvf,川居小館(嘉義維新店),/restaurant/nzvf/chuan-ju-xiao-guan-jia-yi-wei-xin-dian,4.8 stars out of 5,中式
g9l7,NN奶酪,/restaurant/g9l7/nnnai-luo-g9l7,4 stars out of 5,甜點
lw1j,紅豆燒烤,/restaurant/lw1j/hong-dou-shao-kao,5 stars out of 5,台式
ww22,奮起湖甜甜圈,/restaurant/ww22/fen-qi-hu-tian-tian-quan-ww22,4.8 stars out of 5,甜點
nvyu,星期一鹹水雞,/restaurant/nvyu/xing-qi-xian-shui-ji,4.9 stars out of 5,小吃
b1cn,帕士噠義大利麵、焗烤 (嘉義光華店),/restaurant/b1cn/pa-shi-da-yi-da-li-mian-ju-kao-jia-yi-guang-hua-dian,4.9 stars out of 5,歐美
m48v,WHAT什麼滷味,/restaurant/m48v/whatshi-mo-lu-wei,未知,小吃
tu3z,樂后茶輕食,/restaurant/tu3z/le-hou-cha-qing-shi,2.9 stars out of 5,台式
wphw,檜町火雞肉飯,/restaurant/wphw/kuai-ting-huo-ji-rou-fan,未知,台式
krk6,阿岸米糕,/restaurant/krk6/a-an-mi-gao,4.8 stars out of 5,台式
six6,飽飽泰式 (嘉義八德店),/restaurant/six6/bao-bao-tai-shi-jia-yi-ba-de-dian,4.7 stars out of 5,東南亞
r3yo,炒鮮現煮鴨肉麵-新竹米粉,/restaurant/r3yo/chao-xian-xian-zhu-ya-rou-mian-xin-zhu-mi-fen,4.6 stars out of 5,台式
fz4u,老東家素食,/restaurant/fz4u/lao-dong-jia-su-shi,4.8 stars out of 5,素食
b8zl,打貓冰果室,/restaurant/b8zl/da-mao-bing-guo-shi,4.8 stars out of 5,甜點
ep1o,星期二美式漢堡,/restaurant/ep1o/xing-qi-er-mei-shi-han-bao,5 stars out of 5,歐美
thkh,京站湯包麵館,/restaurant/thkh/jing-zhan-tang-bao-mian-guan,4.8 stars out of 5,中式
boha,隆珍好食 (牛肉料理專門店),/restaurant/boha/long-zhen-hao-shi-niu-rou-liao-li-zhuan-men-dian,4.7 stars out of 5,台式
h1ue,琳琳異國美食,/restaurant/h1ue/lin-lin-yi-guo-mei-shi,4.5 stars out of 5,中式
t5us,秘醬滷味 (嘉義德明店),/restaurant/t5us/mi-jiang-lu-wei-jia-yi-de-ming-dian,4.5 stars out of 5,小吃
lwbp,胖1991 (文化總店),/restaurant/lwbp/pang-1991-wen-hua-zong-dian,4.4 stars out of 5,小吃
x3kj,麥飯樂,/restaurant/x3kj/mai-fan-le,4.8 stars out of 5,台式
wdfq,岩植厚吐司,/restaurant/wdfq/yan-zhi-hou-tu-si,未知,台式
a5oy,日日興羊肉 (嘉義旗艦店),/restaurant/a5oy/ri-ri-xing-yang-rou-jia-yi-qi-jian-dian,4.3 stars out of 5,台式
l4xv,麥當勞 (S129 嘉義垂楊店),/restaurant/l4xv/mai-dang-lao-s129-jia-yi-chui-yang-dian,4.8 stars out of 5,歐美
z5sg,嘉義明木滿月油飯,/restaurant/z5sg/jia-yi-ming-mu-man-yue-you-fan,4.7 stars out of 5,台式
fb3n,拉亞漢堡 (嘉義興達店),/restaurant/fb3n/la-ya-han-bao-jia-yi-xing-da-dian,4.7 stars out of 5,早餐
f9nr,岩植YANZHI(嘉義民權店),/restaurant/f9nr/yan-zhi-yanzhi-jia-yi-min-quan-dian,4.9 stars out of 5,飲料
bv69,侯老師東石蚵仔煎,/restaurant/bv69/hou-lao-shi-dong-shi-he-zi-jian-bv69,4.8 stars out of 5,台式
i8ic,火鍋世家 (嘉義尊爵店),/restaurant/i8ic/huo-guo-shi-jia-jia-yi-zun-jue-dian,4.5 stars out of 5,台式
zx0r,莊家火雞肉飯,/restaurant/zx0r/zhuang-jia-huo-ji-rou-fan,4.8 stars out of 5,台式
yti4,來碗拉麵 (嘉義垂楊店),/restaurant/yti4/lai-wan-la-mian-jia-yi-chui-yang-dian-yti4,4.7 stars out of 5,日式
z0wh,樂在飲事所,/restaurant/z0wh/le-zai-yin-shi-suo,4.9 stars out of 5,飲料
qjas,暴暴丼物鍋,/restaurant/qjas/bao-bao-jing-wu-guo,4.3 stars out of 5,日式
lz4a,紅色經典香腸專賣店 (嘉義民生南店),/restaurant/lz4a/hong-se-jing-dian-xiang-chang-zhuan-mai-dian-jia-yi-min-sheng-nan-dian,4.8 stars out of 5,小吃
m2tc,古早味 蚵仔麵線,/restaurant/m2tc/gu-zao-wei-he-zi-mian-xian,4.5 stars out of 5,小吃
j4sz,曹家牛肉麵 (嘉義民生店),/restaurant/j4sz/cao-jia-niu-rou-mian-jia-yi-min-sheng-dian,4.8 stars out of 5,台式
x5xo,麻糬粥,/restaurant/x5xo/ma-zhou,1 stars out of 5,小吃
txet,赤二,/restaurant/txet/chi-er,4.7 stars out of 5,早餐
z4nr,Pizza Hut必勝客 (嘉義中興店),/restaurant/z4nr/pizza-hutbi-sheng-ke-jia-yi-zhong-xing-dian,4.9 stars out of 5,歐美
j8qz,黑波堂-九份芋圓專賣 (嘉義民族店),/restaurant/j8qz/hei-bo-tang-jiu-fen-yu-yuan-zhuan-mai-jia-yi-min-zu-dian,4.7 stars out of 5,甜點
f9yl,玖肆捌灶咖炒泡麵/炒飯/蓋飯,/restaurant/f9yl/jiu-si-ba-zao-ka-chao-pao-mian-chao-fan-gai-fan,4.6 stars out of 5,台式
ag88,香香滷味,/restaurant/ag88/xiang-xiang-lu-wei-ag88,4.9 stars out of 5,小吃
oiki,老攤燒肉粽&蚵仔煎,/restaurant/oiki/lao-tan-shao-rou-zong-andhe-zi-jian,4.5 stars out of 5,台式
x7ou,巷口飯糰 (嘉義東區店),/restaurant/x7ou/xiang-kou-fan-tuan-jia-yi-dong-qu-dian,4.8 stars out of 5,小吃
d4cm,豆豆之家(豆花),/restaurant/d4cm/dou-dou-zhi-jia-dou-hua,4.9 stars out of 5,甜點
lt3q,韓鍋人-姐姐的店,/restaurant/lt3q/han-guo-ren-jie-jie-de-dian,4.4 stars out of 5,韓式
zscv,昌平炸雞王 (嘉義民生南店),/restaurant/zscv/chang-ping-zha-ji-wang-jia-yi-min-sheng-nan-dian,4.9 stars out of 5,歐美
p9u0,野瘦派低卡便當 (嘉義店),/restaurant/p9u0/ye-shou-pai-di-qia-bian-dang-jia-yi-dian,4.9 stars out of 5,健康餐
f9sv,蹦啾鮮奶雞蛋糕,/restaurant/f9sv/beng-jiu-xian-nai-ji-dan-gao,4.8 stars out of 5,甜點
s25e,合平鴨肉羹,/restaurant/s25e/he-ping-ya-rou-geng,4.8 stars out of 5,台式
bwuu,豬對有韓式便當 (嘉義民族店),/restaurant/bwuu/zhu-dui-you-han-shi-bian-dang-jia-yi-min-zu-dian,4.7 stars out of 5,韓式
z9em,醉財神複合式餐飲,/restaurant/z9em/zui-cai-shen-fu-he-shi-can-yin,4.8 stars out of 5,歐美
f38z,POKE TW夏威夷蓋飯,/restaurant/f38z/poke-twxia-wei-yi-gai-fan,未知,健康餐
z4ss,二丫頭麻辣涼麵,/restaurant/z4ss/er-ya-tou-ma-la-liang-mian,4.5 stars out of 5,台式
s02k,滿大碗 (嘉義仁愛店),/restaurant/s02k/man-da-wan-jia-yi-ren-ai-dian,4.8 stars out of 5,小吃
t6sg,Magic Touch 点爭鮮 (嘉義垂楊店),/restaurant/t6sg/magic-touch-dian-zheng-xian-jia-yi-chui-yang-dian,4.6 stars out of 5,日式
z9wu,新冰味 100%新鮮水果冰,/restaurant/z9wu/xin-bing-wei-100-xin-xian-shui-guo-bing,4.8 stars out of 5,甜點
gntd,舊市府鹽酥雞,/restaurant/gntd/jiu-shi-fu-yan-su-ji,4.6 stars out of 5,小吃
fl0p,夏果子-派對系鮮果飲品 (嘉義中山店),/restaurant/fl0p/xia-guo-zi-pai-dui-xi-xian-guo-yin-pin-jia-yi-zhong-shan-dian,5 stars out of 5,飲料
z2sl,阿典師簡速餐,/restaurant/z2sl/a-dian-shi-jian-su-can,4.8 stars out of 5,台式
ialo,51好食,/restaurant/ialo/51hao-shi,4.7 stars out of 5,台式
s9tl,北海道粥品 (嘉義民族店),/restaurant/s9tl/bei-hai-dao-zhou-pin-jia-yi-min-zu-dian,4.6 stars out of 5,台式
v5mk,高雄周燒肉飯 (嘉義垂楊店),/restaurant/v5mk/gao-xiong-zhou-shao-rou-fan-jia-yi-chui-yang-dian,4.7 stars out of 5,台式
wxni,安董桶仔雞,/restaurant/wxni/an-dong-tong-zi-ji,5 stars out of 5,台式
